Country,Technology,Grid connection,Year,Electricity generation (GWh)
Austria,Solar photovoltaic,On-grid,2000,3.23
Austria,Solar photovoltaic,On-grid,2001,5.34
Austria,Solar photovoltaic,On-grid,2002,9.03
Austria,Solar photovoltaic,On-grid,2003,14.69
Austria,Solar photovoltaic,On-grid,2004,18.43
Austria,Solar photovoltaic,On-grid,2005,18.49
Austria,Solar photovoltaic,On-grid,2006,19.61
Austria,Solar photovoltaic,On-grid,2007,21.42
Austria,Solar photovoltaic,On-grid,2008,27.0
Austria,Solar photovoltaic,On-grid,2009,45.56
Austria,Solar photovoltaic,On-grid,2010,85.27
Austria,Solar photovoltaic,On-grid,2011,169.88
Austria,Solar photovoltaic,On-grid,2012,333.09
Austria,Solar photovoltaic,On-grid,2013,620.78
Austria,Solar photovoltaic,On-grid,2014,779.76
Austria,Solar photovoltaic,On-grid,2015,931.56
Austria,Solar photovoltaic,On-grid,2016,1089.53
Austria,Solar photovoltaic,On-grid,2017,1262.01
Austria,Solar photovoltaic,On-grid,2018,1447.94
Austria,Solar photovoltaic,On-grid,2019,1694.4
Austria,Solar photovoltaic,On-grid,2020,2034.74
Austria,Solar photovoltaic,On-grid,2021,2773.91
Austria,Solar photovoltaic,On-grid,2022,0.0
Austria,Solar photovoltaic,Off-grid,2000,0.0
Austria,Solar photovoltaic,Off-grid,2001,0.0
Austria,Solar photovoltaic,Off-grid,2002,0.0
Austria,Solar photovoltaic,Off-grid,2003,0.0
Austria,Solar photovoltaic,Off-grid,2004,0.0
Austria,Solar photovoltaic,Off-grid,2005,2.53
Austria,Solar photovoltaic,Off-grid,2006,2.77
Austria,Solar photovoltaic,Off-grid,2007,2.82
Austria,Solar photovoltaic,Off-grid,2008,3.12
Austria,Solar photovoltaic,Off-grid,2009,3.35
Austria,Solar photovoltaic,Off-grid,2010,3.55
Austria,Solar photovoltaic,Off-grid,2011,4.19
Austria,Solar photovoltaic,Off-grid,2012,4.39
Austria,Solar photovoltaic,Off-grid,2013,5.19
Austria,Solar photovoltaic,Off-grid,2014,5.49
Austria,Solar photovoltaic,Off-grid,2015,5.54
Austria,Solar photovoltaic,Off-grid,2016,6.49
Austria,Solar photovoltaic,Off-grid,2017,6.96
Austria,Solar photovoltaic,Off-grid,2018,7.2
Austria,Solar photovoltaic,Off-grid,2019,7.7
Austria,Solar photovoltaic,Off-grid,2020,8.2
Austria,Solar photovoltaic,Off-grid,2021,8.7
Austria,Solar photovoltaic,Off-grid,2022,0.0
Austria,Solar thermal energy,On-grid,2000,0.0
Austria,Solar thermal energy,On-grid,2001,0.0
Austria,Solar thermal energy,On-grid,2002,0.0
Austria,Solar thermal energy,On-grid,2003,0.0
Austria,Solar thermal energy,On-grid,2004,0.0
Austria,Solar thermal energy,On-grid,2005,0.0
Austria,Solar thermal energy,On-grid,2006,0.0
Austria,Solar thermal energy,On-grid,2007,0.0
Austria,Solar thermal energy,On-grid,2008,0.0
Austria,Solar thermal energy,On-grid,2009,0.0
Austria,Solar thermal energy,On-grid,2010,0.0
Austria,Solar thermal energy,On-grid,2011,0.0
Austria,Solar thermal energy,On-grid,2012,0.0
Austria,Solar thermal energy,On-grid,2013,0.0
Austria,Solar thermal energy,On-grid,2014,0.0
Austria,Solar thermal energy,On-grid,2015,0.0
Austria,Solar thermal energy,On-grid,2016,0.0
Austria,Solar thermal energy,On-grid,2017,0.0
Austria,Solar thermal energy,On-grid,2018,0.0
Austria,Solar thermal energy,On-grid,2019,0.0
Austria,Solar thermal energy,On-grid,2020,0.0
Austria,Solar thermal energy,On-grid,2021,0.0
Austria,Solar thermal energy,On-grid,2022,0.0
Austria,Solar thermal energy,Off-grid,2000,0.0
Austria,Solar thermal energy,Off-grid,2001,0.0
Austria,Solar thermal energy,Off-grid,2002,0.0
Austria,Solar thermal energy,Off-grid,2003,0.0
Austria,Solar thermal energy,Off-grid,2004,0.0
Austria,Solar thermal energy,Off-grid,2005,0.0
Austria,Solar thermal energy,Off-grid,2006,0.0
Austria,Solar thermal energy,Off-grid,2007,0.0
Austria,Solar thermal energy,Off-grid,2008,0.0
Austria,Solar thermal energy,Off-grid,2009,0.0
Austria,Solar thermal energy,Off-grid,2010,0.0
Austria,Solar thermal energy,Off-grid,2011,0.0
Austria,Solar thermal energy,Off-grid,2012,0.0
Austria,Solar thermal energy,Off-grid,2013,0.0
Austria,Solar thermal energy,Off-grid,2014,0.0
Austria,Solar thermal energy,Off-grid,2015,0.0
Austria,Solar thermal energy,Off-grid,2016,0.0
Austria,Solar thermal energy,Off-grid,2017,0.0
Austria,Solar thermal energy,Off-grid,2018,0.0
Austria,Solar thermal energy,Off-grid,2019,0.0
Austria,Solar thermal energy,Off-grid,2020,0.0
Austria,Solar thermal energy,Off-grid,2021,0.0
Austria,Solar thermal energy,Off-grid,2022,0.0
Austria,Onshore wind energy,On-grid,2000,66.75
Austria,Onshore wind energy,On-grid,2001,104.65
Austria,Onshore wind energy,On-grid,2002,139.82
Austria,Onshore wind energy,On-grid,2003,372.28
Austria,Onshore wind energy,On-grid,2004,933.63
Austria,Onshore wind energy,On-grid,2005,1331.28
Austria,Onshore wind energy,On-grid,2006,1752.79
Austria,Onshore wind energy,On-grid,2007,2037.19
Austria,Onshore wind energy,On-grid,2008,2011.26
Austria,Onshore wind energy,On-grid,2009,1954.04
Austria,Onshore wind energy,On-grid,2010,2063.91
Austria,Onshore wind energy,On-grid,2011,1936.2
Austria,Onshore wind energy,On-grid,2012,2462.86
Austria,Onshore wind energy,On-grid,2013,3152.43
Austria,Onshore wind energy,On-grid,2014,3845.68
Austria,Onshore wind energy,On-grid,2015,4840.32
Austria,Onshore wind energy,On-grid,2016,5234.84
Austria,Onshore wind energy,On-grid,2017,6571.51
Austria,Onshore wind energy,On-grid,2018,6030.43
Austria,Onshore wind energy,On-grid,2019,7450.08
Austria,Onshore wind energy,On-grid,2020,6791.53
Austria,Onshore wind energy,On-grid,2021,6740.04
Austria,Onshore wind energy,On-grid,2022,0.0
Austria,Onshore wind energy,Off-grid,2000,0.0
Austria,Onshore wind energy,Off-grid,2001,0.0
Austria,Onshore wind energy,Off-grid,2002,0.0
Austria,Onshore wind energy,Off-grid,2003,0.0
Austria,Onshore wind energy,Off-grid,2004,0.0
Austria,Onshore wind energy,Off-grid,2005,0.0
Austria,Onshore wind energy,Off-grid,2006,0.0
Austria,Onshore wind energy,Off-grid,2007,0.0
Austria,Onshore wind energy,Off-grid,2008,0.0
Austria,Onshore wind energy,Off-grid,2009,0.0
Austria,Onshore wind energy,Off-grid,2010,0.0
Austria,Onshore wind energy,Off-grid,2011,0.0
Austria,Onshore wind energy,Off-grid,2012,0.0
Austria,Onshore wind energy,Off-grid,2013,0.0
Austria,Onshore wind energy,Off-grid,2014,0.0
Austria,Onshore wind energy,Off-grid,2015,0.0
Austria,Onshore wind energy,Off-grid,2016,0.0
Austria,Onshore wind energy,Off-grid,2017,0.0
Austria,Onshore wind energy,Off-grid,2018,0.0
Austria,Onshore wind energy,Off-grid,2019,0.0
Austria,Onshore wind energy,Off-grid,2020,0.0
Austria,Onshore wind energy,Off-grid,2021,0.0
Austria,Onshore wind energy,Off-grid,2022,0.0
Austria,Offshore wind energy,On-grid,2000,0.0
Austria,Offshore wind energy,On-grid,2001,0.0
Austria,Offshore wind energy,On-grid,2002,0.0
Austria,Offshore wind energy,On-grid,2003,0.0
Austria,Offshore wind energy,On-grid,2004,0.0
Austria,Offshore wind energy,On-grid,2005,0.0
Austria,Offshore wind energy,On-grid,2006,0.0
Austria,Offshore wind energy,On-grid,2007,0.0
Austria,Offshore wind energy,On-grid,2008,0.0
Austria,Offshore wind energy,On-grid,2009,0.0
Austria,Offshore wind energy,On-grid,2010,0.0
Austria,Offshore wind energy,On-grid,2011,0.0
Austria,Offshore wind energy,On-grid,2012,0.0
Austria,Offshore wind energy,On-grid,2013,0.0
Austria,Offshore wind energy,On-grid,2014,0.0
Austria,Offshore wind energy,On-grid,2015,0.0
Austria,Offshore wind energy,On-grid,2016,0.0
Austria,Offshore wind energy,On-grid,2017,0.0
Austria,Offshore wind energy,On-grid,2018,0.0
Austria,Offshore wind energy,On-grid,2019,0.0
Austria,Offshore wind energy,On-grid,2020,0.0
Austria,Offshore wind energy,On-grid,2021,0.0
Austria,Offshore wind energy,On-grid,2022,0.0
Austria,Offshore wind energy,Off-grid,2000,0.0
Austria,Offshore wind energy,Off-grid,2001,0.0
Austria,Offshore wind energy,Off-grid,2002,0.0
Austria,Offshore wind energy,Off-grid,2003,0.0
Austria,Offshore wind energy,Off-grid,2004,0.0
Austria,Offshore wind energy,Off-grid,2005,0.0
Austria,Offshore wind energy,Off-grid,2006,0.0
Austria,Offshore wind energy,Off-grid,2007,0.0
Austria,Offshore wind energy,Off-grid,2008,0.0
Austria,Offshore wind energy,Off-grid,2009,0.0
Austria,Offshore wind energy,Off-grid,2010,0.0
