Country,Technology,Year,Public Investments (2020 million USD)
Austria,On-grid Solar photovoltaic,2000,0.0
Austria,On-grid Solar photovoltaic,2001,0.0
Austria,On-grid Solar photovoltaic,2002,0.0
Austria,On-grid Solar photovoltaic,2003,0.0
Austria,On-grid Solar photovoltaic,2004,0.0
Austria,On-grid Solar photovoltaic,2005,0.0
Austria,On-grid Solar photovoltaic,2006,0.0
Austria,On-grid Solar photovoltaic,2007,0.0
Austria,On-grid Solar photovoltaic,2008,0.0
Austria,On-grid Solar photovoltaic,2009,0.0
Austria,On-grid Solar photovoltaic,2010,0.0
Austria,On-grid Solar photovoltaic,2011,0.0
Austria,On-grid Solar photovoltaic,2012,0.0
Austria,On-grid Solar photovoltaic,2013,0.0
Austria,On-grid Solar photovoltaic,2014,0.0
Austria,On-grid Solar photovoltaic,2015,0.0
Austria,On-grid Solar photovoltaic,2016,0.0
Austria,On-grid Solar photovoltaic,2017,0.0
Austria,On-grid Solar photovoltaic,2018,0.0
Austria,On-grid Solar photovoltaic,2019,0.0
Austria,On-grid Solar photovoltaic,2020,0.0
Austria,On-grid Solar photovoltaic,2021,0.0
Austria,Off-grid Solar photovoltaic,2000,0.0
Austria,Off-grid Solar photovoltaic,2001,0.0
Austria,Off-grid Solar photovoltaic,2002,0.0
Austria,Off-grid Solar photovoltaic,2003,0.0
Austria,Off-grid Solar photovoltaic,2004,0.0
Austria,Off-grid Solar photovoltaic,2005,0.0
Austria,Off-grid Solar photovoltaic,2006,0.0
Austria,Off-grid Solar photovoltaic,2007,0.0
Austria,Off-grid Solar photovoltaic,2008,0.0
Austria,Off-grid Solar photovoltaic,2009,0.0
Austria,Off-grid Solar photovoltaic,2010,0.0
Austria,Off-grid Solar photovoltaic,2011,0.0
Austria,Off-grid Solar photovoltaic,2012,0.0
Austria,Off-grid Solar photovoltaic,2013,0.0
Austria,Off-grid Solar photovoltaic,2014,0.0
Austria,Off-grid Solar photovoltaic,2015,0.0
Austria,Off-grid Solar photovoltaic,2016,0.0
Austria,Off-grid Solar photovoltaic,2017,0.0
Austria,Off-grid Solar photovoltaic,2018,0.0
Austria,Off-grid Solar photovoltaic,2019,0.0
Austria,Off-grid Solar photovoltaic,2020,0.0
Austria,Off-grid Solar photovoltaic,2021,0.0
Austria,Solar thermal energy,2000,0.0
Austria,Solar thermal energy,2001,0.0
Austria,Solar thermal energy,2002,0.0
Austria,Solar thermal energy,2003,0.0
Austria,Solar thermal energy,2004,0.0
Austria,Solar thermal energy,2005,0.0
Austria,Solar thermal energy,2006,0.0
Austria,Solar thermal energy,2007,0.0
Austria,Solar thermal energy,2008,0.0
Austria,Solar thermal energy,2009,0.0
Austria,Solar thermal energy,2010,0.0
